mode,profile,run,first_victory_min,first_hatch_min,second_biome_min,level_d1,level_d3,level_d7,level_d14,gold,dust,eggs,dragons,upgrades,win_rate,first5_win_rate,avg_battle_turns,empty_flight,stranded_runs,blocked,both_zero_days,tutorial_complete
before,cautious,51,2.2,6.4,12,2,4,7,12,11367,995,14,25,8,0.5576923076923077,0.8,7.0576923076923075,0.34,2,0,0,1
before,cautious,52,5.4,6.4,12,2,4,8,12,11619,980,20,21,7,0.6666666666666666,0.8,7.25,0.34,2,0,0,0
before,cautious,53,2.2,6.4,12,3,4,7,12,11868,995,15,27,9,0.5370370370370371,0.6,7.166666666666667,0.34,1,0,0,1
before,cautious,54,2.2,6.4,12,2,4,7,12,11811,950,14,24,7,0.5882352941176471,0.6,6.862745098039215,0.34,2,0,0,1
before,cautious,55,23.599999999999998,6.4,12,2,3,7,11,10839,980,26,22,9,0.5714285714285714,0,7.040816326530612,0.34,4,0,0,0
before,cautious,56,2.2,6.4,12,2,3,6,11,10867,965,21,21,6,0.5416666666666666,0.4,7.291666666666667,0.34,0,0,0,1
before,cautious,57,2.2,6.4,12,3,5,7,12,10928,965,17,25,9,0.5576923076923077,1,7.153846153846154,0.34,0,0,0,1
before,cautious,58,2.2,6.4,12,3,4,7,13,12395,935,11,25,7,0.6538461538461539,0.8,6.846153846153846,0.34,0,0,0,1
before,cautious,59,2.2,6.4,12,3,4,7,12,10329,965,13,24,12,0.5686274509803921,0.6,7.098039215686274,0.34,0,0,0,1
before,cautious,60,2.2,6.4,12,3,4,8,13,11382,935,19,25,9,0.6538461538461539,0.8,7.019230769230769,0.34,0,0,0,1
before,cautious,61,2.2,6.4,12,2,4,7,10,11530,995,13,23,6,0.48,0.6,7.44,0.34,1,0,0,1
before,cautious,62,2.2,6.4,12,2,4,7,12,11510,980,19,24,9,0.6470588235294118,0.8,7.117647058823529,0.34,2,0,0,1
before,cautious,63,2.2,6.4,12,2,4,7,12,12005,950,18,24,4,0.6470588235294118,0.8,7.2745098039215685,0.34,0,0,0,1
before,cautious,64,2.2,6.4,12,2,3,7,13,12249,980,18,25,5,0.6538461538461539,0.6,7.019230769230769,0.34,1,0,0,1
before,cautious,65,2.2,6.4,12,2,4,7,12,11316,935,11,28,7,0.5818181818181818,0.4,7.163636363636364,0.34,0,1,0,1
before,cautious,66,2.2,6.4,12,3,4,7,11,10217,965,16,23,10,0.54,0.6,7.3,0.34,1,0,0,1
before,cautious,67,2.2,6.4,12,2,5,7,12,10791,935,16,23,10,0.66,0.6,7.12,0.34,2,0,0,1
before,cautious,68,2.2,6.4,12,2,4,7,12,11902,950,14,25,5,0.6538461538461539,0.8,6.826923076923077,0.34,3,0,0,1
before,cautious,69,11.8,6.4,12,2,4,9,12,11003,965,15,25,9,0.5576923076923077,0.4,7.173076923076923,0.34,1,0,0,0
before,cautious,70,2.2,6.4,12,3,5,7,13,12732,980,13,26,6,0.6226415094339622,0.6,7.0754716981132075,0.34,2,0,0,1
before,cautious,71,2.2,6.4,12,2,5,7,12,10970,935,17,23,8,0.62,0.8,6.74,0.34,1,0,0,1
before,cautious,72,5.4,6.4,12,3,4,7,12,12288,1010,18,26,6,0.5660377358490566,0.6,7.056603773584905,0.34,1,0,0,0
before,cautious,73,2.2,6.4,12,3,4,7,12,12290,965,15,24,6,0.6470588235294118,0.8,7.235294117647059,0.34,2,0,0,1
before,cautious,74,2.2,6.4,12,2,4,7,12,11622,995,22,24,7,0.5882352941176471,0.6,7.078431372549019,0.34,1,0,0,1
before,cautious,75,2.2,6.4,12,3,4,8,14,13110,1010,25,27,6,0.7037037037037037,0.6,6.944444444444445,0.34,1,0,0,1
before,cautious,76,2.2,6.4,12,3,4,7,12,11746,965,17,24,9,0.6078431372549019,0.6,6.627450980392157,0.34,2,0,0,1
before,cautious,77,2.2,6.4,12,2,4,7,12,11764,950,12,24,7,0.6078431372549019,0.8,7.294117647058823,0.34,3,0,0,1
before,cautious,78,2.2,6.4,12,2,3,6,12,11446,950,12,25,8,0.6538461538461539,0.6,7.076923076923077,0.34,1,0,0,1
before,cautious,79,2.2,6.4,12,2,5,8,13,12839,995,19,23,7,0.68,0.6,6.94,0.34,2,0,0,1
before,cautious,80,2.2,6.4,12,2,4,7,13,12988,995,24,25,7,0.6923076923076923,0.8,6.884615384615385,0.34,2,0,0,1
before,cautious,81,2.2,6.4,12,2,4,7,12,11157,995,21,22,12,0.6326530612244898,0.8,7.163265306122449,0.34,3,0,0,1
before,cautious,82,8.600000000000001,6.4,12,2,4,6,12,11496,980,15,25,6,0.5384615384615384,0.2,7.153846153846154,0.34,0,0,0,0
before,cautious,83,2.2,6.4,12,2,4,6,12,12131,995,19,25,9,0.6153846153846154,0.4,7.115384615384615,0.34,2,0,0,1
before,cautious,84,2.2,6.4,12,2,3,7,13,11923,935,11,26,6,0.660377358490566,0.4,6.981132075471698,0.34,2,0,0,1
before,cautious,85,2.2,6.4,12,2,4,7,11,11145,980,19,24,7,0.5294117647058824,0.8,7.1568627450980395,0.34,2,0,0,1
before,cautious,86,5.4,6.4,12,3,4,7,13,11500,890,4,25,9,0.6153846153846154,0.4,6.865384615384615,0.34,3,0,0,0
before,cautious,87,5.4,6.4,12,2,4,7,10,10364,965,15,24,8,0.49019607843137253,0.6,6.921568627450981,0.34,1,0,0,0
before,cautious,88,2.2,6.4,12,2,3,6,13,11391,980,15,28,10,0.6181818181818182,0.4,7.181818181818182,0.34,0,0,0,1
before,cautious,89,5.4,6.4,12,2,5,7,12,11242,950,21,25,7,0.5769230769230769,0.4,7.153846153846154,0.34,1,0,0,0
before,cautious,90,2.2,6.4,12,2,4,8,13,12378,980,22,20,8,0.723404255319149,0.6,7.127659574468085,0.34,5,0,0,1
before,cautious,91,2.2,6.4,12,2,4,8,12,11107,980,21,20,9,0.6595744680851063,0.4,6.872340425531915,0.34,1,0,0,1
before,cautious,92,2.2,6.4,12,3,4,8,13,12996,1010,18,26,8,0.660377358490566,0.6,7.132075471698113,0.34,1,0,0,1
before,cautious,93,2.2,6.4,12,2,4,8,14,12441,950,12,24,8,0.7254901960784313,0.4,6.9411764705882355,0.34,1,0,0,1
before,cautious,94,8.600000000000001,6.4,12,3,4,7,12,11987,965,15,25,8,0.5961538461538461,0.4,7.173076923076923,0.34,1,0,0,0
before,cautious,95,5.4,6.4,12,3,4,7,12,11564,980,14,25,9,0.5576923076923077,0.8,7.365384615384615,0.34,1,0,0,0
before,cautious,96,2.2,6.4,12,2,4,7,11,10302,935,12,25,10,0.5769230769230769,0.4,6.980769230769231,0.34,3,0,0,1
before,cautious,97,2.2,6.4,12,2,4,7,12,10836,965,20,25,11,0.5961538461538461,0.6,6.9423076923076925,0.34,1,0,0,1
before,cautious,98,2.2,6.4,12,2,4,6,12,12177,980,21,24,6,0.5686274509803921,0.4,6.921568627450981,0.34,2,1,0,1
before,cautious,99,11.8,6.4,12,2,4,6,12,11280,965,8,26,7,0.5283018867924528,0.4,6.981132075471698,0.34,2,0,0,0
before,cautious,100,2.2,6.4,12,3,4,8,12,11849,995,20,24,5,0.5882352941176471,0.8,6.96078431372549,0.34,5,0,0,1
before,cautious,101,2.2,6.4,12,2,4,8,13,11024,920,11,26,9,0.6415094339622641,0.6,7.056603773584905,0.34,1,0,0,1
before,cautious,102,2.2,6.4,12,3,5,8,13,11688,965,20,25,9,0.6923076923076923,0.8,6.75,0.34,2,0,0,1
before,cautious,103,5.4,6.4,12,2,3,7,11,11264,950,16,24,5,0.6274509803921569,0.6,7.03921568627451,0.34,1,0,0,0
before,cautious,104,5.4,6.4,12,2,3,6,10,9963,935,14,22,7,0.4489795918367347,0.4,7.469387755102041,0.34,3,0,0,0
before,cautious,105,2.2,6.4,12,3,4,6,11,10976,965,18,21,10,0.5833333333333334,1,7.083333333333333,0.34,2,0,0,1
before,cautious,106,5.4,6.4,12,3,4,7,12,11976,935,13,25,7,0.5769230769230769,0.6,7.211538461538462,0.34,2,0,0,0
before,cautious,107,2.2,6.4,12,2,4,8,13,12697,965,21,23,7,0.68,0.8,6.86,0.34,3,0,0,1
before,cautious,108,2.2,6.4,12,2,4,7,11,10973,935,15,22,4,0.5510204081632653,0.8,7.204081632653061,0.34,0,0,0,1
before,cautious,109,5.4,6.4,12,2,4,6,12,11997,950,14,24,6,0.5686274509803921,0.6,7.176470588235294,0.34,2,0,0,0
before,cautious,110,2.2,6.4,12,3,4,7,13,12489,965,15,25,7,0.6346153846153846,0.8,7.3076923076923075,0.34,2,0,0,1
before,cautious,111,17.2,6.4,12,2,4,7,12,11900,980,14,25,8,0.5769230769230769,0.4,6.846153846153846,0.34,2,0,0,0
before,cautious,112,5.4,6.4,12,2,4,6,11,10936,965,18,25,8,0.5576923076923077,0.6,7.4423076923076925,0.34,3,0,0,0
before,cautious,113,2.2,6.4,12,3,4,6,10,10808,950,14,22,8,0.46938775510204084,0.4,7.244897959183674,0.34,1,0,0,1
before,cautious,114,2.2,6.4,12,3,5,8,14,12373,950,14,27,6,0.6666666666666666,0.6,6.981481481481482,0.34,1,0,0,1
before,cautious,115,2.2,6.4,12,3,4,8,12,12126,965,14,24,6,0.5882352941176471,0.8,6.803921568627451,0.34,4,0,0,1
before,cautious,116,8.600000000000001,6.4,12,3,4,7,12,11765,980,21,22,8,0.5918367346938775,0.6,6.979591836734694,0.34,1,0,0,0
before,cautious,117,2.2,6.4,12,3,5,8,11,11616,995,23,22,9,0.5918367346938775,1,7.081632653061225,0.34,0,0,0,1
before,cautious,118,2.2,6.4,12,3,5,8,15,13166,950,15,29,7,0.7321428571428571,0.6,6.607142857142857,0.34,0,0,0,1
before,cautious,119,2.2,6.4,12,3,3,7,12,10823,965,19,25,9,0.5769230769230769,0.8,7.134615384615385,0.34,3,1,0,1
before,cautious,120,11.8,6.4,12,2,3,5,10,10296,980,22,21,8,0.5,0.4,7.3125,0.34,1,0,0,0
before,cautious,121,2.2,6.4,12,2,4,7,12,10053,935,13,23,11,0.6,0.6,7.04,0.34,4,0,0,1
before,cautious,122,2.2,6.4,12,2,4,7,13,12243,980,19,25,5,0.6538461538461539,0.4,6.846153846153846,0.34,0,0,0,1
before,cautious,123,2.2,6.4,12,3,5,8,12,12283,965,19,23,7,0.64,0.8,6.94,0.34,3,0,0,1
before,cautious,124,2.2,6.4,12,3,4,7,11,11457,980,18,20,7,0.574468085106383,0.8,7.191489361702128,0.34,3,0,0,1
before,cautious,125,2.2,6.4,12,3,4,7,12,12340,965,14,23,4,0.58,0.8,7.3,0.34,0,0,0,1
before,cautious,126,5.4,6.4,12,3,5,7,13,11388,995,23,24,12,0.6862745098039216,0.6,7.137254901960785,0.34,1,0,0,0
before,cautious,127,2.2,6.4,12,3,4,7,12,12055,980,14,25,8,0.5961538461538461,0.6,7.153846153846154,0.34,0,0,0,1
before,cautious,128,5.4,6.4,12,2,5,7,13,12286,950,12,24,5,0.6862745098039216,0.8,6.921568627450981,0.34,2,0,0,0
before,cautious,129,5.4,6.4,12,3,4,7,12,11619,950,19,23,9,0.62,0.6,6.98,0.34,4,0,0,0
before,cautious,130,2.2,6.4,12,2,3,5,10,11388,995,17,23,5,0.44,0.2,7.3,0.34,3,0,0,1
before,cautious,131,2.2,6.4,12,2,4,8,13,13006,995,22,24,5,0.6274509803921569,0.8,7.196078431372549,0.34,0,0,0,1
before,cautious,132,2.2,6.4,12,2,4,7,13,12335,950,13,23,8,0.7,0.6,6.98,0.34,1,0,0,1
before,cautious,133,2.2,6.4,12,3,4,7,11,9788,935,14,22,10,0.5306122448979592,1,7.122448979591836,0.34,0,0,0,1
before,cautious,134,2.2,6.4,12,2,4,8,13,11904,965,20,24,8,0.6666666666666666,0.6,6.980392156862745,0.34,2,0,0,1
before,cautious,135,2.2,6.4,12,2,4,7,11,10879,950,19,21,6,0.5625,0.8,7.270833333333333,0.34,3,0,0,1
before,cautious,136,2.2,6.4,12,2,4,7,12,12461,995,16,24,6,0.6078431372549019,0.6,7.490196078431373,0.34,1,0,0,1
before,cautious,137,17.2,6.4,12,2,4,7,12,11706,980,22,22,7,0.6530612244897959,0.4,6.938775510204081,0.34,0,0,0,0
before,cautious,138,2.2,6.4,12,3,3,6,10,9863,905,12,22,8,0.4897959183673469,0.8,6.979591836734694,0.34,1,0,0,1
before,cautious,139,2.2,6.4,12,3,4,8,13,12500,995,22,25,5,0.6538461538461539,0.8,6.961538461538462,0.34,2,0,0,1
before,cautious,140,2.2,6.4,12,3,4,7,12,11686,950,12,27,8,0.5555555555555556,1,7.2592592592592595,0.34,1,0,0,1
before,cautious,141,2.2,6.4,12,3,4,8,13,12548,980,22,25,5,0.6730769230769231,0.6,6.826923076923077,0.34,1,0,0,1
before,cautious,142,2.2,6.4,12,2,3,7,11,10767,965,18,27,9,0.5555555555555556,0.6,7.166666666666667,0.34,0,1,0,1
before,cautious,143,8.600000000000001,6.4,12,3,4,8,13,11339,920,11,25,8,0.6296296296296297,0.6,7.2592592592592595,0.34,2,0,0,0
before,cautious,144,2.2,6.4,12,3,5,7,13,12799,935,11,26,4,0.660377358490566,0.8,6.849056603773585,0.34,2,0,0,1
before,cautious,145,2.2,6.4,12,2,4,7,12,11627,920,10,21,7,0.625,0.6,7.4375,0.34,4,0,0,1
before,cautious,146,8.600000000000001,6.4,12,2,3,6,11,11319,1010,26,23,7,0.54,0.4,7.24,0.34,1,0,0,0
before,cautious,147,2.2,6.4,12,3,5,8,13,12786,965,24,24,8,0.7254901960784313,0.8,6.921568627450981,0.34,2,0,0,1
before,cautious,148,2.2,6.4,12,3,4,7,12,11022,950,13,25,9,0.5961538461538461,0.6,7.019230769230769,0.34,3,0,0,1
before,cautious,149,2.2,6.4,12,3,4,7,13,12301,950,16,22,6,0.7142857142857143,0.8,7.040816326530612,0.34,1,0,0,1
before,cautious,150,2.2,6.4,12,2,4,9,13,12472,995,31,21,6,0.7291666666666666,0.6,6.8125,0.34,3,0,0,1
before,cautious,151,2.2,6.4,12,2,5,7,11,11322,995,24,23,7,0.56,0.6,7.12,0.34,3,0,0,1
before,cautious,152,2.2,6.4,12,3,5,8,12,10803,935,11,23,8,0.6,0.8,7.18,0.34,2,0,0,1
before,cautious,153,2.2,6.4,12,2,4,8,14,13167,995,29,23,4,0.78,0.6,6.76,0.34,0,0,0,1
before,cautious,154,2.2,6.4,12,3,4,8,13,11714,935,15,27,6,0.5740740740740741,0.6,7.074074074074074,0.34,4,0,0,1
before,cautious,155,2.2,6.4,12,3,4,7,12,10958,950,6,25,8,0.5471698113207547,0.6,7.113207547169812,0.34,2,0,0,1
before,cautious,156,2.2,6.4,12,3,5,8,13,12152,995,18,25,10,0.6153846153846154,0.8,7.25,0.34,0,0,0,1
before,cautious,157,20.4,6.4,12,2,3,6,12,10683,980,16,25,10,0.5384615384615384,0.2,7.076923076923077,0.34,2,0,0,0
before,cautious,158,2.2,6.4,12,2,3,7,11,10213,920,10,23,8,0.54,0.8,7.06,0.34,3,0,0,1
before,cautious,159,2.2,6.4,12,2,4,7,13,12683,965,20,23,6,0.7,1,6.76,0.34,3,0,0,1
before,cautious,160,8.600000000000001,6.4,12,2,4,6,11,11714,965,15,25,7,0.5192307692307693,0.4,7.038461538461538,0.34,5,0,0,0
before,cautious,161,2.2,6.4,12,3,4,6,12,11745,1010,27,21,7,0.625,0.8,7.291666666666667,0.34,3,0,0,1
before,cautious,162,2.2,6.4,12,3,4,7,12,12533,980,10,24,5,0.5882352941176471,0.8,7.019607843137255,0.34,2,0,0,1
before,cautious,163,5.4,6.4,12,3,4,7,12,11573,965,15,23,10,0.62,0.4,7.1,0.34,1,0,0,0
before,cautious,164,2.2,6.4,12,2,4,7,12,12424,1010,26,21,7,0.6666666666666666,0.8,7.208333333333333,0.34,1,0,0,1
before,cautious,165,2.2,6.4,12,2,4,7,12,12333,1010,29,21,7,0.6458333333333334,0.6,6.9375,0.34,2,0,0,1
before,cautious,166,2.2,6.4,12,3,5,8,14,13256,980,16,26,7,0.6792452830188679,1,7.037735849056604,0.34,2,0,0,1
before,cautious,167,2.2,6.4,12,2,4,6,11,10822,965,16,22,8,0.6122448979591837,0.8,7.1020408163265305,0.34,2,0,0,1
before,cautious,168,2.2,6.4,12,2,4,7,12,11096,965,18,24,8,0.5882352941176471,0.6,6.823529411764706,0.34,1,1,0,1
before,cautious,169,2.2,6.4,12,2,4,7,11,10899,965,14,23,7,0.54,0.6,7.24,0.34,5,0,0,1
before,cautious,170,2.2,6.4,12,2,4,8,11,10641,965,18,24,9,0.5490196078431373,0.2,7.411764705882353,0.34,0,0,0,1
before,cautious,171,2.2,6.4,12,3,4,8,11,11346,995,17,23,9,0.52,1,7.14,0.34,1,0,0,1
before,cautious,172,2.2,6.4,12,2,5,8,13,11780,965,17,25,8,0.6538461538461539,0.6,7.019230769230769,0.34,0,0,0,1
before,cautious,173,2.2,6.4,12,2,5,7,12,11279,935,14,25,7,0.5961538461538461,0.6,7.173076923076923,0.34,0,0,0,1
before,cautious,174,8.600000000000001,6.4,12,2,4,6,12,11040,980,20,24,9,0.5882352941176471,0.4,7.0588235294117645,0.34,2,0,0,0
before,cautious,175,2.2,6.4,12,2,4,6,11,10760,995,19,26,8,0.5094339622641509,0.6,7.30188679245283,0.34,2,1,0,1
before,cautious,176,2.2,6.4,12,3,5,8,12,11858,1010,19,27,11,0.5925925925925926,0.8,7.055555555555555,0.34,5,0,0,1
before,cautious,177,5.4,6.4,12,3,4,8,12,12055,950,12,24,7,0.6078431372549019,0.6,7.313725490196078,0.34,1,0,0,0
before,cautious,178,2.2,6.4,12,3,4,7,12,11771,995,17,26,7,0.5660377358490566,0.6,6.981132075471698,0.34,1,0,0,1
before,cautious,179,2.2,6.4,12,3,4,8,13,12352,965,18,25,7,0.5961538461538461,0.4,7.211538461538462,0.34,2,0,0,1
before,cautious,180,8.600000000000001,6.4,12,2,4,8,13,11991,980,19,23,7,0.7,0.6,7.14,0.34,1,0,0,0
before,cautious,181,2.2,6.4,12,3,5,9,13,12848,950,19,26,5,0.660377358490566,0.6,7.056603773584905,0.34,1,0,0,1
before,cautious,182,2.2,6.4,12,2,4,7,11,10553,965,14,23,9,0.52,0.6,7.46,0.34,1,0,0,1
before,cautious,183,2.2,6.4,12,3,4,6,12,11372,965,15,24,7,0.5490196078431373,0.6,7.235294117647059,0.34,2,0,0,1
before,cautious,184,2.2,6.4,12,2,4,6,10,10599,1010,26,21,8,0.4791666666666667,0.6,7.208333333333333,0.34,1,0,0,1
before,cautious,185,2.2,6.4,12,2,4,7,13,12603,995,21,26,7,0.6226415094339622,0.8,6.981132075471698,0.34,3,0,0,1
before,cautious,186,2.2,6.4,12,2,3,6,11,11735,980,18,25,7,0.5384615384615384,0.6,7.384615384615385,0.34,1,0,0,1
before,cautious,187,2.2,6.4,12,3,4,8,13,11971,935,10,23,9,0.68,1,7.14,0.34,2,0,0,1
before,cautious,188,2.2,6.4,12,3,4,8,13,12046,935,11,26,5,0.6226415094339622,0.8,7.433962264150943,0.34,3,0,0,1
before,cautious,189,2.2,6.4,12,3,5,9,14,13193,995,20,27,8,0.6851851851851852,1,7.166666666666667,0.34,2,0,0,1
before,cautious,190,2.2,6.4,12,3,4,8,13,12807,950,12,25,7,0.6923076923076923,1,6.865384615384615,0.34,1,0,0,1
before,cautious,191,20.4,6.4,12,2,3,6,11,10784,965,16,23,6,0.54,0.2,7.14,0.34,0,0,0,0
before,cautious,192,2.2,6.4,12,2,3,8,13,11435,935,18,24,8,0.7058823529411765,0.8,6.96078431372549,0.34,1,0,0,1
before,cautious,193,2.2,6.4,12,3,4,8,13,12294,1010,25,22,7,0.6938775510204082,0.8,6.8979591836734695,0.34,0,0,0,1
before,cautious,194,5.4,6.4,12,2,4,7,11,12052,995,19,22,6,0.5918367346938775,0.8,7,0.34,2,0,0,0
before,cautious,195,2.2,6.4,12,3,4,7,12,11031,965,22,23,8,0.56,0.8,7.12,0.34,2,0,0,1
before,cautious,196,2.2,6.4,12,3,4,7,12,11525,995,21,24,6,0.5490196078431373,0.8,7.235294117647059,0.34,4,0,0,1
before,cautious,197,5.4,6.4,12,2,4,6,12,10889,965,18,24,9,0.5490196078431373,0.6,7.098039215686274,0.34,1,0,0,0
before,cautious,198,2.2,6.4,12,2,4,7,13,11368,935,13,26,8,0.6415094339622641,0.8,7.113207547169812,0.34,2,0,0,1
before,cautious,199,2.2,6.4,12,3,5,7,12,11229,980,17,26,8,0.5660377358490566,1,7.09433962264151,0.34,2,0,0,1
before,cautious,200,2.2,6.4,12,3,4,7,12,11701,980,17,25,7,0.5769230769230769,0.6,7.326923076923077,0.34,3,0,0,1
